Tranjection Date,Deposited In,Receipt Mode,Cheque No/Reference/UTR #,Date,Drown In Which Bank?,Branch of Bank,Member Name,Wing,Flat,Receipt Tpye,Amount,Narration 
    10-12-2015    ,    SBI     ,    Cheque   ,2456555,   10-12-2015   ,uco     ,HIRAN,abhilash,   A   ,101,    MAINTANACE   ,500,test
10-12-2015,SBI,CHEQUE,2456555,10-12-2015,uco     ,HIRAN,abhilash,    A,101,MAINTANACE,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,     uco,HIRAN,abhilash,A,101,MAINTANACE,500,test
    10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,MAINTANACE,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,MAINTANACE,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A   ,101,MAINTANACE,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,NEFT,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,neft,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
     10-12-2015,SBI,pg,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,maintanace,500,test
10-12-2015,SBI,PG,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
10-12-2015,SBI,Cheque,2456555,10-12-2015,uco,HIRAN,abhilash,A,101,Maintanace,500,test
