Transaction Date,Receipt Mode,Cheque No.,Reference/UTR,Drawn Bank name,Deposited In,Date,Member Name,Wing,Flat,Amount,Narration 
25-05-2015,Cheque,12345,,Dena Bank,SBI,25-05-2015,Nikhil,A,101,5000,Receipt for bill
26-05-2015,Cheque,12346,,Dena Bank,SBI,26-05-2015,Rohit,B,202,5000,Receipt for bill
27-05-2015,Cheque,12347,,Dena Bank,SBI,27-05-2015,Rohit,B,201,5000,Receipt for bill
28-05-2015,Cheque,12348,,Dena Bank,SBI,28-05-2015,Rohit,B,203,5000,Receipt for bill
29-05-2015,Cheque,12349,,Dena Bank,SBI,29-05-2015,Nikhil,A,102,5000,Receipt for bill
30-05-2015,Cheque,12350,,Dena Bank,SBI,30-05-2015,Sudhir,B,205,5000,Receipt for bill
31-05-2015,Cheque,12351,,Dena Bank,SBI,31-05-2015,Sudhir,B,204,5000,Receipt for bill
01-06-2015,Cheque,12352,,Dena Bank,SBI,01-06-2015,Nikhil 2,A,105,5000,Receipt for bill
02-06-2015,Cheque,12353,,Dena Bank,SBI,02-06-2015,Suresh Chodhry,C,1003,5000,Receipt for bill
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
