Group Name,A/c name,wing,unit,Amount Type(Debit or Credit),Amount(Opening Balance),Penalty 
Reserve & Surplus,Membership premium,,,,,
Reserve & Surplus,Transfer Charges,,,,,
Reserve & Surplus,Profit & Loss A/c,,,,,
Reserve & Surplus,Major Repairs Fund,,,,,
Fixed Assets,Power Back up & Generator,,,,,
Administrative Expenses,Staff welfare expenses,,,,,
Administrative Expenses,Communication expenses,,,,,
Repairs & Maintenance,Lifts & Elevators - R&M,,,,,
Capital Account,Share Capital,,,,,
Current Liabilities,Advances & Security Deposits taken,,,,,
Fixed Assets,Accumulated Depreciation,,,,,
Capital Account,Application Money,,,,,
Fixed Assets,Club Center Equipments,,,,,
Fixed Assets,Gym Equipments,,,,,
Administrative Expenses,Salaries,,,,,
Reserve & Surplus,Reserve Fund Seed Money,,,,,
Fixed Assets,Land & Building,,,,,
Reserve & Surplus,Sinking Fund,,,,,
Administrative Expenses,Postage & Courier charges,,,,,
Administrative Expenses,Meeting & Welfare expenses,,,,,
Current Assets,Advance given to Vendors,,,,,
Contribution from Members,Non Occupancy Charges,,,,,
Administrative Expenses,Audit fees,,,,,
Fixed Assets,Plant & Machinery,,,,,
Fixed Assets,Office Equipments,,,,,
Other Income,Miscellaneous income,,,,,
Contribution from Members,Maintenance charges,,,,,
Contribution from Members,Cultural Fund contribution,,,,,
Administrative Expenses,Sundry Balances Written Off,,,,,
Repairs & Maintenance,House keeping charges,,,,,
Taxes & Utilities,Electricity Expenses,,,,,
Administrative Expenses,Legal & Professional Charges,,,,,
Administrative Expenses,Depreciation,,,,,
Administrative Expenses,Cultural / Festival expenses,,,,,
Administrative Expenses,Conveyance expenses,,,,,
Administrative Expenses,Computer & sofware expenses,,,,,
Administrative Expenses,Bank charges,,,,,
Repairs & Maintenance,Swimming pool - R&M,,,,,
Repairs & Maintenance,Power back & generator - R&M,,,,,
Repairs & Maintenance,Pest control,,,,,
Repairs & Maintenance,Building R&M,,,,,
Taxes & Utilities,Property Tax,,,,,
Current Assets,Cash-in-hand,,,,,
Current Assets,Stock / Inventories,,,,,
Investments,Mutual Funds,,,,,
Current Liabilities,Service Tax payable,,,,,
Current Liabilities,Tax deducted at source (TDS payable),,,,,
Current Liabilities,Advance from Members,,,,,
Reserve & Surplus,Entrance Fees,,,,,
Taxes & Utilities,Water charges,,,debit,500,
Administrative Expenses,Printing & Stationery charges,,,debit,500,
Repairs & Maintenance,Gymnasium R&M,,,debit,500,
Administrative Expenses,Interest expenses,,,debit,500,
Administrative Expenses,Insurance charges,,,debit,500,
Administrative Expenses,Cable TV expenses,,,debit,500,
Repairs & Maintenance,Security charges,,,debit,500,
Repairs & Maintenance,Plumbing - R&M,,,debit,500,
Repairs & Maintenance,Electrical R&M,,,debit,500,
Current Assets,Accrued Interest,,,debit,500,
Current Assets,Sundry Debtors,,,debit,500,
Current Assets,Deposits (Asset),,,debit,500,
Investments,Fixed Deposits,,,debit,500,
Fixed Assets,Vehicles,,,debit,500,
Current Liabilities,Retention A/c,,,debit,500,
Current Liabilities,Provisions,,,debit,500,
Current Liabilities,Salaries,,,debit,500,
Administrative Expenses,Miscellaneous expenses,,,debit,500,
Other Income,Mobile tower rent,,,debit,500,
Other Income,Advertising Income,,,debit,500,
Fixed Assets,Furniture & Fixtures,,,debit,500,
Contribution from Members,Interest from Fixed deposits,,,debit,500,
Contribution from Members,Interest from saving accounts,,,debit,500,
Contribution from Members,Interest from members,,,debit,500,
Other Income,Income from Advertising & events,,,debit,500,
Contribution from Members,Sinking Fund,,,debit,500,
Contribution from Members,Repair Fund,,,debit,500,
Contribution from Members,Welfare Fund,,,debit,500,
